"Order","Price","LotFrontage","LotArea","LotConfig","HouseStyle","Quality","Condition","YearBuilt","YearRemodel","ExteriorQ","ExteriorC","Foundation","BasementHt","BasementC","BasementFin","BasementFinSF","BasementUnFinSF","BasementSF","Heating","HeatingQC","CentralAir","FirstSF","SecondSF","GroundSF","BasementFBath","BasementHBath","FullBath","HalfBath","Bedroom","KitchenQ","TotalRooms","Fireplaces","GarageType","GarageCars","GarageSF","GarageQ","GarageC","WoodDeckSF","OpenPorchSF","EnclosedPorchSF","ScreenPorchSF"
1286,157.5,60,10440,"Inside","2Story",5,8,1904,2002,"TA","TA","PConc","TA","TA","Unf",0,650,650,"GasA","Gd","Y",958,581,1539,0,0,2,0,3,"Gd",8,1,"Detchd",2,686,"Gd","TA",70,78,68,0
171,96.5,55,8800,"Corner","1.5Fin",4,7,1910,2004,"TA","TA","BrkTil","TA","Fa","Unf",0,576,576,"GasA","Gd","Y",792,348,1140,0,0,1,0,3,"TA",7,0,"None",0,0,"None","None",0,160,0,0
462,254,48,6240,"Inside","1Story",8,5,2006,2006,"Gd","TA","PConc","Gd","TA","GLQ",863,461,1324,"GasA","Ex","Y",1324,0,1324,1,0,2,0,2,"Gd",6,1,"Attchd",2,550,"TA","TA",192,38,0,0
1129,256,85,10625,"Inside","1Story",8,5,2007,2007,"Gd","TA","PConc","Gd","TA","Unf",0,1660,1660,"GasA","Ex","Y",1660,0,1660,0,0,2,0,3,"Gd",7,1,"Attchd",3,660,"TA","TA",133,120,0,0
584,206,0,12732,"CulDSac","2Story",7,6,1974,1974,"TA","TA","CBlock","TA","TA","GLQ",560,150,752,"GasA","TA","Y",1285,782,2067,0,0,2,1,3,"Gd",7,2,"Attchd",2,784,"TA","TA",297,40,0,0
742,133,51,6120,"Inside","1.5Fin",4,7,1935,1995,"TA","TA","BrkTil","TA","TA","Unf",0,884,884,"GasA","Ex","Y",989,584,1573,0,0,1,0,3,"Gd",6,0,"Detchd",1,240,"TA","TA",0,0,54,120
1385,152,0,7400,"CulDSac","SFoyer",5,5,1984,1984,"TA","TA","PConc","Gd","TA","LwQ",104,0,1060,"GasA","TA","Y",1126,0,1126,1,0,1,0,2,"TA",5,0,"Attchd",2,506,"TA","TA",178,0,0,0
2817,98,67,8777,"Inside","2Story",4,6,1910,2000,"TA","Gd","CBlock","Gd","TA","Rec",173,166,676,"GasA","Gd","Y",760,676,1436,1,0,2,0,3,"TA",6,0,"Attchd",2,528,"TA","TA",147,0,0,0
871,203,73,11883,"Inside","1Story",7,5,1996,1996,"Gd","TA","PConc","Gd","TA","GLQ",690,814,1504,"GasA","Ex","Y",1504,0,1504,1,0,2,0,3,"Gd",6,1,"Attchd",2,478,"TA","TA",115,66,0,0
2827,140,35,3675,"Inside","SFoyer",6,5,2005,2006,"TA","TA","PConc","Gd","TA","GLQ",547,0,547,"GasA","Gd","Y",1072,0,1072,1,0,2,0,2,"TA",5,0,"Basment",2,525,"TA","TA",0,44,0,0
1834,285,85,10678,"Inside","1.5Fin",8,5,1992,2000,"Gd","TA","PConc","Gd","TA","GLQ",700,983,1683,"GasA","Ex","Y",2129,743,2872,0,0,2,1,4,"Gd",9,1,"Attchd",2,541,"TA","TA",0,33,0,0
2891,171,82,11070,"Inside","1Story",7,5,1988,1989,"TA","TA","CBlock","TA","TA","Unf",0,1907,1907,"GasA","Gd","Y",1959,0,1959,0,0,3,0,5,"TA",9,0,"2Types",3,766,"TA","TA",0,0,0,0
1845,168.5,0,2117,"Inside","2Story",6,5,2000,2000,"Gd","TA","PConc","Gd","TA","GLQ",420,336,756,"GasA","Ex","Y",756,756,1512,0,0,2,1,2,"Gd",4,1,"Detchd",2,440,"TA","TA",0,32,0,0
582,185.75,0,9156,"Inside","1Story",6,7,1968,1968,"TA","TA","CBlock","TA","TA","Unf",0,1489,1489,"GasA","Gd","Y",1489,0,1489,0,0,2,0,3,"Gd",7,1,"Attchd",2,462,"TA","TA",0,0,0,0
949,240,43,12118,"CulDSac","1Story",7,5,2004,2005,"Gd","TA","PConc","Ex","TA","Unf",0,1710,1710,"GasA","Ex","Y",1710,0,1710,0,0,2,0,3,"Gd",7,1,"Attchd",2,550,"TA","TA",100,48,0,180
2539,158,80,9600,"Inside","SLvl",5,7,1967,1967,"TA","TA","PConc","TA","TA","ALQ",602,137,1141,"GasA","Gd","Y",1141,0,1141,1,0,1,0,3,"TA",6,0,"Attchd",1,568,"TA","TA",0,78,0,0
